Respondent's ID,Gender,Age Group,Highest Qualifications,Employment Status,Income Level,Country,Q1,Q2a,Q2b,Q2c,Q2d,Q2e,Q3a,Q3b,Q3c,Q3d,Q3e,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6a,Q6b,Q6c,Q6d,Q6e
73,Female,21-24,Degree,Employed,Less than $20K,Nigeria,LinkedIn,Yes,No,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,9,5,10,10,10
74,Male,31-34,PHD,Student,Less than $20K,United States,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,,Weekly online calls,Tableau project examples,Normal class discussions,,9,2,10,10,10
75,Female,25-30,Certificate,Self-employed,Less than $20K,Poland,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,10,4,9,10,10
76,Female,41+,PHD,Employed,$20k-$44K,United States,Facebook,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,,,Weekly online calls,Tableau project examples,,,8,5,10,8,4
77,Male,25-30,Diploma,Student,Less than $20K,United States,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,7,10,7,1
78,Male,21-24,Master's Degree,Employed,$20k-$44K,South Africa,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Neutral,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,7,10,10,8
79,Female,21-24,Master's Degree,Student,Less than $20K,Bulgaria,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,9,6,10,8,10
80,Male,35-40,Master's Degree,Student,Less than $20K,Georgia,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,9,8,10,8,1
81,Female,25-30,Certificate,Student,Less than $20K,Dominican Republic,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,10,10,1
82,Female,41+,Master's Degree,Employed,$150K-$199K,South Africa,Facebook,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,,Weekly online calls,Tableau project examples,,,9,10,10,10,8
83,Female,41+,PHD,Un-employed,Less than $20K,South Africa,Facebook,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,10,10,10,10,7
84,Male,31-34,Master's Degree,Employed,$45K-$139K,France,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,10,10,7
85,Female,25-30,PHD,Employed,Less than $20K,Indonesia,Through Ads,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Quizzes & Solutions,,,Tableau project examples,,,9,10,10,10,8
86,Male,25-30,Certificate,Self-employed,$45K-$139K,Mexico,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,9,10,10,10,8
87,Male,41+,Certificate,Employed,$45K-$139K,Nigeria,Through Ads,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,10,10,8
88,Male,31-34,Diploma,Student,Less than $20K,New Caledonia,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,9,9,9,7,9
89,Female,35-40,Master's Degree,Self-employed,$45K-$139K,India,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,10,10,10
90,Male,25-30,Certificate,Self-employed,Less than $20K,Mexico,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,,Normal class discussions,,9,7,9,9,10
91,Male,31-34,Degree,Student,Less than $20K,United States,Facebook,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,8,10,7
92,Male,25-30,Certificate,Student,Less than $20K,India,LinkedIn,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Neutral,Neutral,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,8,9,10,10,8
93,Female,15-20,Diploma,Un-employed,Less than $20K,United States,Through Ads,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,,,Weekly online calls,Tableau project examples,,,10,10,10,10,8
94,Female,41+,Master's Degree,Un-employed,Less than $20K,France,Facebook,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,8,10,10,10,8
95,Male,35-40,Diploma,Un-employed,Less than $20K,Poland,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,10,8,8,8,8
96,Female,31-34,Master's Degree,Student,Less than $20K,Ireland,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,9,10,9,10
97,Male,21-24,Diploma,Student,Less than $20K,Laos,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,8,8,9,10,8
98,Male,31-34,Diploma,Self-employed,Less than $20K,Suriname,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,,Mock Exam,,Tableau project examples,Normal class discussions,,8,10,8,10,8
99,Male,15-20,Master's Degree,Employed,Less than $20K,Colombia,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Neutral,,,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,9,10,7,10
100,Male,35-40,Degree,Self-employed,$45K-$139K,Austria,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,7,8,10,7
101,Male,41+,Master's Degree,Student,Less than $20K,Laos,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,,,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,7,10,7
102,Male,31-34,PHD,Student,Less than $20K,Japan,Newsletter,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,7,10,10,10,8
103,Male,31-34,Master's Degree,Self-employed,Less than $20K,Brazil,Through Ads,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,,Mock Exam,Weekly online calls,,Normal class discussions,,9,10,10,10,8
104,Male,25-30,Master's Degree,Student,Less than $20K,Russia,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,8,9,10,10
105,Female,25-30,Certificate,Student,Less than $20K,Central African Republic,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,10,7,10,9
106,Female,15-20,Diploma,Student,Less than $20K,United States,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,10,9,7
107,Female,41+,Master's Degree,Self-employed,$20k-$44K,United Kingdom,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Neutral,Neutral,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Quizzes & Solutions,,,Tableau project examples,Normal class discussions,,9,9,9,10,10
108,Female,25-30,Diploma,Employed,$200K+,Poland,Facebook,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,7,8,10,10,8
109,Male,21-24,Master's Degree,Employed,Less than $20K,Nigeria,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,,,Weekly online calls,Tableau project examples,,,10,10,10,10,8
110,Female,21-24,Certificate,Self-employed,$45K-$139K,United Kingdom,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,8,2,7,10,9
111,Female,21-24,Diploma,Un-employed,Less than $20K,South Africa,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,9,5,9,10,7
112,Female,31-34,Master's Degree,Employed,$45K-$139K,Mali,Newsletter,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,1,10,8,8
113,Male,35-40,Master's Degree,Un-employed,Less than $20K,Mexico,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,10,8,9,8,10
114,Female,31-34,Diploma,Self-employed,Less than $20K,Poland,Facebook,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,3,10,7,9
115,Female,35-40,Diploma,Self-employed,Less than $20K,Germany,Facebook,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,,,Weekly online calls,Tableau project examples,Normal class discussions,,9,5,10,8,7
116,Female,25-30,PHD,Un-employed,Less than $20K,India,Facebook,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Neutral,Satisfied,Neutral,Satisfied,,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,10,8,8
117,Female,31-34,Diploma,Employed,Less than $20K,Greece,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,10,8,10,7,8
118,Male,35-40,Diploma,Student,Less than $20K,Brazil,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,,,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,10,8,8
119,Female,25-30,PHD,Self-employed,$45K-$139K,United Kingdom,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,9,10,8,9
120,Female,31-34,Diploma,Student,Less than $20K,United Kingdom,Facebook,Yes,Yes,Yes,Yes,Yes,Neutral,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Neutral,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,9,8,7,8,9
121,Male,25-30,Certificate,Employed,$20k-$44K,Russia,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Neutral,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,8,10,8,7
122,Female,31-34,Certificate,Employed,$20k-$44K,China,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Neutral,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,9,8,8
123,Female,35-40,Diploma,Student,Less than $20K,Netherlands,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,7,8,10,10,8
124,Female,41+,Degree,Un-employed,Less than $20K,Czech Republic,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Neutral,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,8,10,8,8
125,Female,41+,Degree,Student,Less than $20K,United States,Facebook,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,10,8,10,8,8
126,Male,41+,Master's Degree,Self-employed,$45K-$139K,Japan,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Neutral,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,9,8,10,8,8
127,Female,25-30,Degree,Un-employed,Less than $20K,United States,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,9,8,8
128,Female,21-24,Master's Degree,Student,Less than $20K,Norway,Newsletter,Yes,Yes,Yes,Yes,Yes,Neutral,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,9,8,10,8,9
129,Male,25-30,PHD,Self-employed,Less than $20K,India,LinkedIn,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,10,8,8
130,Female,25-30,Certificate,Self-employed,$20k-$44K,Russia,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,8,9,10,7,8
131,Male,25-30,Degree,Self-employed,$45K-$139K,France,Facebook,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,9,10,8
132,Male,31-34,Degree,Un-employed,Less than $20K,South Africa,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,10,8,8
133,Male,21-24,Master's Degree,Employed,$140K-$149K,Sweden,Website,Yes,Yes,Yes,Yes,Yes,Neutral,Highly satisfied,Satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,9,8,7,8,10
134,Female,31-34,Master's Degree,Employed,$140K-$149K,Nigeria,Through Ads,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,7,8,7,8,8
135,Male,31-34,Diploma,Student,Less than $20K,United States,Through Ads,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,10,7,7
136,Female,21-24,Master's Degree,Student,Less than $20K,Canada,Facebook,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,9,9,10,9,9
137,Female,21-24,Degree,Self-employed,$140K-$149K,South Africa,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,,,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,8,10,8
138,Female,41+,Master's Degree,Un-employed,Less than $20K,United States,LinkedIn,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,8,10,10
139,Female,15-20,Master's Degree,Un-employed,Less than $20K,Finland,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,10,10,8
140,Male,15-20,Diploma,Student,Less than $20K,Thailand,Through Ads,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Highly satisfied,,,Weekly online calls,Tableau project examples,,,9,10,10,10,8
141,Female,25-30,Degree,Student,Less than $20K,India,LinkedIn,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,9,8,10,8,8
142,Female,15-20,Degree,Employed,Less than $20K,Afghanistan,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,,,,7,9,9,7,8
143,Female,31-34,PHD,Student,Less than $20K,United States,Newsletter,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Neutral,Highly satisfied,Satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,,Normal class discussions,Trainer's feedback through comments,9,8,10,9,8
144,Male,35-40,PHD,Student,Less than $20K,United States,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,2,8,10,10,8
145,Male,25-30,PHD,Un-employed,Less than $20K,Colombia,Through Ads,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,8,9,10,10,7
146,Male,25-30,Degree,Un-employed,Less than $20K,United States,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Neutral,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,3,8,10,7,7
